title,state,year
"The Uttar Pradesh Private Universities (Eighth Amendment) Bill, 2024",Uttar Pradesh,2024
"The Uttar Pradesh District Planning Committee (Amendment) Bill, 2024",Uttar Pradesh,2024
"The Madhya Pradesh Labour Welfare Fund (Amendment) Bill, 2026",Madhya Pradesh,2026
"The Registration (Madhya Pradesh Amendment) Bill, 2025",Madhya Pradesh,2025
"The Madhya Pradesh Goods and Services Tax (Amendment) Bill, 2025",Madhya Pradesh,2025
"The Indian Stamp (Madhya Pradesh Amendment) Bill, 2025",Madhya Pradesh,2025
"The Madhya Pradesh Universities (Amendment) Bill, 2025",Madhya Pradesh,2025
"The Madhya Pradesh Labor Laws (Amendment) and Miscellaneous Provisions Bill, 2025",Madhya Pradesh,2025
"The Madhya Pradesh Co-operative Societies (Amendment) Bill, 2025",Madhya Pradesh,2025
"The Madhya Pradesh Town and Village Investment (Amendment) Bill, 2025",Madhya Pradesh,2025
"The Madhya Pradesh Municipal (Amendment) Bill, 2025",Madhya Pradesh,2025
"The Madhya Pradesh Shops and Establishments (Second Amendment) Bill, 2025",Madhya Pradesh,2025
"The Madhya Pradesh Legal Aid and Legal Advice for Weaker Sections of Society (Repeal) Bill, 2025",Madhya Pradesh,2025
"The Madhya Pradesh Arbitration Tribunal (Amendment) Bill, 2025",Madhya Pradesh,2025
"The Madhya Pradesh Motor Vehicles Taxation (Amendment) Bill, 2025",Madhya Pradesh,2025
"The Madhya Pradesh Shops and Establishments (Amendment) Bill, 2025",Madhya Pradesh,2025
"The Factories (Madhya Pradesh Amendment) Bill, 2025",Madhya Pradesh,2025
"The Madhya Pradesh Public Trust (Amendment of Provisions) Bill, 2025",Madhya Pradesh,2025
"The Madhya Pradesh Metropolitan Region Planning and Development Bill, 2025",Madhya Pradesh,2025
"The Indian Stamp (Madhya Pradesh Second Amendment) Bill, 2025",Madhya Pradesh,2025
"The Madhya Pradesh Municipality (Amendment) Bill, 2024",Madhya Pradesh,2024
"The Madhya Pradesh University (Amendment) Bill, 2024",Madhya Pradesh,2024
"The Madhya Pradesh Goods and Services Tax (Amendment) Bill, 2024",Madhya Pradesh,2024
"The Madhya Pradesh Goods and Services Tax (Third Amendment) Bill, 2024",Madhya Pradesh,2024
"The Madhya Pradesh University Law (Amendment) Bill, 2024",Madhya Pradesh,2024
"The Madhya Pradesh Private Schools (Regulation of Fees and Related Matters) Amendment Bill, 2024",Madhya Pradesh,2024
"The Madhya Pradesh Jan Vishwas (Amendment of Provisions) Bill, 2024",Madhya Pradesh,2024
"The Madhya Pradesh Municipality (Second Amendment) Bill, 2024",Madhya Pradesh,2024
"The Madhya Pradesh Municipal Corporation (Amendment) Bill, 2024",Madhya Pradesh,2024
"The Madhya Pradesh Maa Sharda Devi Temple (Amendment) Bill, 2024",Madhya Pradesh,2024
"The Madhya Pradesh Legislative Assembly Leader of Opposition (Salary and Allowances) Amendment Bill, 2024",Madhya Pradesh,2024
"The Madhya Pradesh Legislative Assembly Speaker and Deputy Speaker (Salaries and Allowances) Amendment Bill, 2024",Madhya Pradesh,2024
"The Provincial Small Cause Courts (Repeal) Bill, 2024",Madhya Pradesh,2024
"The Madhya Pradesh Prevention and Safety Bill, 2024",Madhya Pradesh,2024
"The Madhya Pradesh Cow Slaughter Prohibition (Amendment) Bill, 2024",Madhya Pradesh,2024
"The Madhya Pradesh Private University (Establishment and Operation) Amendment Bill, 2024",Madhya Pradesh,2024
"The Madhya Pradesh Ministers (Salaries and Allowances) Amendment Bill, 2024",Madhya Pradesh,2024
"The Madhya Pradesh Correctional Services and Prisons Bill, 2024",Madhya Pradesh,2024
"The Madhya Pradesh University (Second Amendment) Bill, 2024",Madhya Pradesh,2024
"The Madhya Pradesh Local Authority (Election Offences) Amendment Bill, 2024",Madhya Pradesh,2024
"The Madhya Pradesh University of Medical Sciences (Amendment) Bill, 2024",Madhya Pradesh,2024
"The Madhya Pradesh Goods and Services Tax (Amendment) Bill, 2023",Madhya Pradesh,2026
"The Madhya Pradesh Profession Tax (Amendment) Bill, 2023",Madhya Pradesh,2026
"Cigarettes and Other Tobacco Products (Prohibition of Advertisement and Regulation of Trade and Commerce, Production, Supply and Distribution) Madhya Pradesh Amendment Bill, 2023",Madhya Pradesh,2026
"The Gwalior Trade Fair Authority (Amendment) Bill, 2023",Madhya Pradesh,2026
"The Madhya Pradesh Establishment and Operation of Industries Simplification Bill, 2023",Madhya Pradesh,2026
"The Bihar Private Professional Educational Institutions (Regulation of Admission and Determination of Fees) Bill, 2026",Bihar,2026
"The Bihar Micro Finance Institutions (Regulation of Money Lending and Prevention of Coercive Action) Bill, 2026",Bihar,2026
"The Bihar Secretariat Service (Amendment) Bill, 2026",Bihar,2026
"The Bihar Civil Court Bill, 2026",Bihar,2026
"The Bihar Municipal (Amendment) Bill, 2026",Bihar,2026
"The Bihar Staff Selection Commission (Amendment) Bill, 2026",Bihar,2026
"The Bihar Technical Service Commission (Amendment) Bill, 2026",Bihar,2026
"The Bihar Madrasa Board (Amendment) Bill, 2026",Bihar,2026
"The Bihar Jan Vishwas (Amendment of Provisions) Bill, 2026",Bihar,2026
"The Bihar Advocates Welfare Fund (Amendment) Bill, 2026",Bihar,2026
"The Bihar Underground Pipe Line (Acquisition of user's Right in Land) (Amendment) Bill, 2025",Bihar,2025
"The Bihar Agricultural Land (Conversion for Non-agricultural Purposes) (Amendment) Bill, 2025",Bihar,2025
"The Bihar Special Survey and Settlement (Amendment) Bill, 2025",Bihar,2025
"The Bihar Municipal (Amendment) Bill, 2025",Bihar,2025
"The Bihar Hindu Religious Trust (Amendment) Bill, 2025",Bihar,2025
"The Bihar Goods And Services Tax (First Amendment) Bill, 2025",Bihar,2025
"The Bihar Co-operative Societies (Amendment) Bill, 2025",Bihar,2025
"The Bihar Wood-Based Industries (Establishment and Regulation) Bill, 2025",Bihar,2025
"The Factories (Bihar Amendment) Bill, 2025",Bihar,2025
"The Bihar Shops and Establishments (Regulation of Employment and Conditions of Service) Bill, 2025",Bihar,2025
"The Bihar Platform Based Gig Workers (Registration, Safety and Welfare) Bill, 2025",Bihar,2025
"Jannayak Karpuri Thakur Skill University Bill, 2025",Bihar,2025
"The Bihar Animal Breeding Regulation Bill, 2025",Bihar,2025
"The Bihar Agricultural University (Amendment) Bill, 2025",Bihar,2025
"The Bihar Sanskrit Education Board (Amendment) Bill, 2024",Bihar,2024
"The Bihar State Child Labour Commission (Amendment) Bill, 2024",Bihar,2024
"The Bihar Value Added Tax (Amendment) Bill, 2024",Bihar,2024
"The Bihar Settlement of Taxation Disputes Bill, 2024",Bihar,2024
"The Bihar Public Safety (Measures) Enforcement Bill, 2024",Bihar,2024
"The Bihar Control of Crimes Bill, 2024",Bihar,2024
"The Bihar Technical Service Commission (Amendment) Bill, 2024",Bihar,2024
"The Bihar Sports University (Amendment) Bill, 2024",Bihar,2024
"The Bihar Government Premises (Allotment, Rent, Recovery and Eviction) (Amendment) Bill, 2024",Bihar,2024
"The Vesting of Bettiah Raj Properties Bill, 2024",Bihar,2024
"The Bihar Goods and Services Tax (Second Amendment) Bill, 2024",Bihar,2024
"The Bihar Lift and Escalators Bill, 2024",Bihar,2024
"The Bihar Goods and Services Tax (Amendment) Bill, 2024",Bihar,2024
"The Bihar Public Examinations (Prevention of Unfair Means) Bill, 2024",Bihar,2024
"The Bihar School Examination Board (Amendment) Bill, 2024",Bihar,2024
"The Bihar State University Service Commission (Amendment) Bill, 2024",Bihar,2024
"The Bihar Municipal (Amendment) Bill, 2024",Bihar,2024
"The Bihar State Women Commission (Amendment) Bill, 2024",Bihar,2024
"The Bihar State Minorities Commission (Amendment) Bill, 2024",Bihar,2024
"The Bihar State Madarsa Education Board (Amendment) Bill, 2024",Bihar,2024
"The Bihar Secretariat Service (Amendment) Bill, 2023",Bihar,2026
"The Bihar Goods and Services Tax (Amendment) Bill, 2023",Bihar,2026
"The Odisha Ministers' Salaries and Allowances (Amendment) Bill, 2025",Odisha,2025
"The Odisha Prevention of Land Encroachment (Amendment) Bill, 2025",Odisha,2025
"The Odisha Goods and Services Tax (Amendment) Bill, 2025",Odisha,2025
"The Odisha Universities (Amendment) Bill, 2025",Odisha,2025
"The Odisha Legislative Assembly Deputy Speakers Salary and Allowances (Amendment) Bill, 2025",Odisha,2025
"The Odisha Shops and Commercial Establishments (Amendment) Bill, 2025",Odisha,2025
"The Odisha Jan Vishwas Bill, 2025",Odisha,2025
"The Odisha Legislative Assembly Members Salary, Allowances and Pension (Amendment) Bill, 2025",Odisha,2025
"The Odisha Legislative Assembly Speakers Salary and Allowances (Amendment) Bill, 2025",Odisha,2025
"The Odisha Goods and Services Tax (Second Amendment) Bill, 2024",Odisha,2024
"The Odisha Public Examinations (Prevention of Unfair Means) Bill, 2024",Odisha,2024
"The Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement (Odisha Amendment) Bill, 2023",Odisha,2026
"The Odisha Apartment (Ownership and Management) Bill, 2023",Odisha,2026
"The Odisha Land Reforms (Second Amendment) Bill, 2023",Odisha,2026
"The Odisha Land Reforms (Amendment) Bill, 2023",Odisha,2026
"The Odisha State Commission for Backward Classes (Amendment) Bill, 2023",Odisha,2026
"The Odisha Consolidation of Holdings and Prevention of Fragmentation of Land (Amendment) Bill, 2023",Odisha,2026
"The Odisha Pani Panchayat (Amendment) Bill, 2023",Odisha,2026
"The Silicon University, Odisha Bill, 2023",Odisha,2026
"The Odisha Municipal Laws (Amendment) Bill, 2023",Odisha,2026
"The NIST University, Odisha Bill, 2023",Odisha,2026
"The Odisha Goods and Services Tax (Amendment) Bill, 2023",Odisha,2026
"The Odisha Reservation of Vacancies in Posts and Services (For Scheduled Castes and Scheduled Tribes)(Amendment) Bill, 2023",Odisha,2026
"The Odisha District Planning Committees (Amendment) Bill, 2022",Odisha,2026
"The Odisha Fiscal Responsibility and Budget Management (Amendment) Bill, 2022",Odisha,2026
"The DRIEMS University, Odisha Bill, 2022",Odisha,2026
"Shri Jagannath Temple (Amendment) Bill, 2022",Odisha,2026
"The Odisha Panchayat Laws (Amendment) Bill, 2022",Odisha,2026
"The Odisha Municipal Laws (Amendment) Bill, 2022",Odisha,2026
"The Odisha Municipal Corporation (Amendment) Bill, 2022",Odisha,2026
"The Gandhi Institute of Engineering and Technology University, Odisha (Amendment) Bill, 2022",Odisha,2026
"The C.V. Raman Global University, Odisha (Amendment) Bill, 2022",Odisha,2026
"The Odisha Lokayukta (Amendment) Bill, 2022",Odisha,2026
"The Odisha Fire Service (Amendment) Bill, 2022",Odisha,2026
"The Odisha Goods and Services Tax (Amendment) Bill, 2022",Odisha,2026
"The Telangana Panchayat Raj (Second Amendment) Bill, 2026",Telangana,2026
"The Telangana Panchayat Raj (Amendment) Bill, 2026",Telangana,2026
"The Telangana (Regulation of Appointments to Public Services and Rationalization of Staff Pattern and Pay Structure) (Second Amendment) Bill, 2026",Telangana,2026
"The Telangana (Regulation of Appointments to Public Services and Rationalization of Staff Pattern and Pay Structure) (Amendment) Bill, 2026",Telangana,2026
"The Telangana Motor Vehicles Taxation (Amendment) Bill, 2026",Telangana,2026
"The Telangana Private Universities (Establishment and Regulation) (Amendment) Bill, 2026",Telangana,2026
"The Greater Hyderabad Municipal Corporation (Second Amendment) Bill, 2026",Telangana,2026
"The Greater Hyderabad Municipal Corporation (Amendment) Bill, 2026",Telangana,2026
"The Telangana Municipalities (Third Amendment) Bill, 2026",Telangana,2026
"The Telangana Municipalities (Second Amendment) Bill, 2026",Telangana,2026
"The Telangana Goods and Services Tax (Amendment) Bill, 2026",Telangana,2026
"The Telangana Universities (Amendment) Bill, 2026",Telangana,2026
"The Telangana Municipalities (Fourth Amendment) Bill, 2026",Telangana,2026
"The Telangana Panchayat Raj (Amendment) Bill, 2025",Telangana,2025
"The Telangana Municipalities (Amendment) Bill, 2025",Telangana,2025
"The Telangana Advocates Clerks Welfare Fund (Amendment) Bill, 2025",Telangana,2025
"The Telangana Advocates Welfare Fund (Amendment) Bill, 2025",Telangana,2025
"The Telangana Charitable and Hindu Religious Institutions and Endowments (Amendment) Bill, 2025",Telangana,2025
"The Telangana Backward Classes (Reservation of Seats In Rural and Urban Local Bodies) Bill, 2025",Telangana,2025
"The Telangana Backward Classes, Scheduled Castes and Scheduled Tribes (Reservation of Seats In Educational Institutions and of Appointments or Posts In The Services Under The State) Bill, 2025",Telangana,2025
"The Telangana Scheduled Castes (Rationalisation of Reservations) Bill, 2025",Telangana,2025
"The Telangana Panchayat Raj (Second Amendment) Bill, 2025",Telangana,2025
"The Telangana Municipalities (Second Amendment) Bill, 2025",Telangana,2025
"The Telangana Allopathic Private Medical Care Establishments (Registration and Regulation) (Repeal) Bill, 2025",Telangana,2025
"The Telangana Panchayat Raj (Third Amendment) Bill, 2025",Telangana,2025
"The Telangana Municipalities (Third Amendment) Bill, 2025",Telangana,2025
"The Telangana Transplantation of Human Organs (Repeal) Bill, 2025",Telangana,2025
"The Potti Sreeramulu Telugu University (Amendment) Bill, 2025",Telangana,2025
"The Draft Telangana Gig and Platform Workers (Registration, Social Security, and Welfare) Bill, 2025",Telangana,2025
"The Young India Physical Education and Sports University of Telangana Bill, 2024",Telangana,2024
"The Telangana (Regulation of Appointments to Public Services and Rationalisation of Staff Pattern and Pay Structure (Amendment) Bill, 2024",Telangana,2024
"The Telangana Laws (Change of Acronyms) Bill, 2024",Telangana,2024
"The Telangana Civil Courts (Amendment) Bill, 2024",Telangana,2024
"The Young India Skills University (Public-Private Partnership) Bill, 2024",Telangana,2024
"The Telangana Panchayat Raj (Amendment) Bill, 2024",Telangana,2024
"The Andhra Pradesh Farmers Management of Irrigation Systems (Amendment) Bill, 2026",Andhra Pradesh,2026
"The Andhra Pradesh Prisons and Correctional Services Bill, 2026",Andhra Pradesh,2026
"Sri Venkateswara Vedic University (Amendment) Bill, 2026",Andhra Pradesh,2026
"The Andhra Pradesh Charitable and Hindu Religious Institutions and Endowments (Amendment) Bill, 2026",Andhra Pradesh,2026
"The Andhra Pradesh Allopathic Private Medical Care and Establishments (Registration and Regulation) (Amendment) Bill, 2026",Andhra Pradesh,2026
"The Andhra Pradesh Panchayat Raj (Amendment) Bill, 2026",Andhra Pradesh,2026
"The Andhra Pradesh Electricity Duty (Amendment) Bill, 2026",Andhra Pradesh,2026
"The Andhra Pradesh Municipal Laws (Second Amendment) Bill, 2026",Andhra Pradesh,2026
"The Andhra Pradesh Value Added Tax (Amendment) Bill, 2026",Andhra Pradesh,2026
"The Jawaharlal Nehru Technological Universities (Amendment) Bill, 2026",Andhra Pradesh,2026
"The Andhra Pradesh Motor Vehicles Taxation (Amendment) Bill, 2026",Andhra Pradesh,2026
"The Andhra Pradesh Jan Vishwas (Amendment of Provisions) Bill, 2026",Andhra Pradesh,2026
"The Andhra Pradesh Fire Service (Amendment) Bill, 2026",Andhra Pradesh,2026
"The Andhra Pradesh Grama Sachivalayams and Ward Sachivalayams (GSWS) (Amendment) Bill, 2026",Andhra Pradesh,2026
"The Andhra Pradesh Assigned Lands (Prohibition of Transfers) (Amendment) Bill, 2026",Andhra Pradesh,2026
"The Andhra Pradesh Municipal Laws (Amendment) Bill, 2026",Andhra Pradesh,2026
"The Andhra Pradesh Private Universities (Establishment and Regulation) (Second Amendment) Bill, 2025",Andhra Pradesh,2025
"The Andhra Pradesh State Teachers Transfers Regulation Bill, 2025",Andhra Pradesh,2025
"The Andhra Pradesh Private Universities (Establishment and Regulation) (Amendment) Bill, 2025",Andhra Pradesh,2025
"The Andhra Pradesh Metropolitan Region and Urban Development Authorities (Amendment) Bill, 2025",Andhra Pradesh,2025
"The Andhra Pradesh Goods and Services Tax (Amendment) Bill, 2025",Andhra Pradesh,2025
"The Andhra Pradesh (Regulation of Appointments to Public Services and Rationalisation of Staff Pattern and Pay Structure) (Amendment) Bill, 2025",Andhra Pradesh,2025
"The Andhra Pradesh (Andhra Area) Ayurvedic and Homeopathic Medical Practitioners Registration (Amendment) Bill, 2025",Andhra Pradesh,2025
"The Andhra Pradesh Agricultural Land (Conversion for Non Agricultural Purposes) (Repeal) Bill, 2025",Andhra Pradesh,2025
"The Andhra Pradesh Universities (Amendment) Bill, 2025",Andhra Pradesh,2025
"The Andhra Pradesh Private Universities (Establishment and Regulation) (Third Amendment) Bill, 2025",Andhra Pradesh,2025
"The India International University of Legal Education and Research of the Bar Council of India Trust at Andhra Pradesh Bill, 2025",Andhra Pradesh,2025
"The Andhra Pradesh Municipalities (Amendment) Bill, 2025",Andhra Pradesh,2025
"The Andhra Pradesh Municipal Laws (Fourth Amendment) Bill, 2025",Andhra Pradesh,2025
"The Andhra Pradesh Municipal Laws (Third Amendment) Bill, 2025",Andhra Pradesh,2025
"The Andhra Pradesh Municipal Laws (Second Amendment) Bill, 2025",Andhra Pradesh,2025
"The Andhra Pradesh Municipal Laws (Amendment) Bill, 2025",Andhra Pradesh,2025
"The Andhra Pradesh State Aquaculture Development Authority (Amendment) Bill, 2025",Andhra Pradesh,2025
"The Andhra Pradesh Rights in Land and Pattadar Pass Books (Amendment) Bill, 2025",Andhra Pradesh,2025
"The Andhra Pradesh Grama Sachivalayams and Ward Sachivalayams (GSWS) (Amendment) Bill, 2025",Andhra Pradesh,2025
"The Bharatiya Nagarik Suraksha Sanhita (Andhra Pradesh Amendment) Bill, 2025",Andhra Pradesh,2025
"The Andhra Pradesh Panchayat Raj (Amendment) Bill, 2025",Andhra Pradesh,2025
"The Andhra Pradesh Scheduled Castes (Sub-Classification) Bill, 2025",Andhra Pradesh,2025
"The Andhra Pradesh Excise (Amendment) Bill, 2025",Andhra Pradesh,2025
"The Factories (Andhra Pradesh Amendment) Bill, 2025",Andhra Pradesh,2025
"The Andhra Pradesh Prevention of Begging (Amendment) Bill, 2025",Andhra Pradesh,2025
"The Andhra Pradesh State Commission for Scheduled Tribes (Amendment) Bill, 2025",Andhra Pradesh,2025
"The Andhra Pradesh Shops and Establishments (Amendment) Bill, 2025",Andhra Pradesh,2025
"The Andhra Pradesh Motor Vehicles Taxation (Amendment) Bill, 2025",Andhra Pradesh,2025
"The Haryana Consolidation of Project Land (Special Provisions) Amendment Bill, 2026",Haryana,2026
"The Haryana Development and Regulation of Urban Areas (Amendment) Bill, 2026",Haryana,2026
"The Haryana Fiscal Responsibility and Budget Management (Amendment) Bill, 2026",Haryana,2026
"The Haryana Police (Amendment) Bill, 2026",Haryana,2026
"The Haryana Registration and Regulation of Travel Agents (Amendment) Bill, 2026",Haryana,2026
"The Haryana Extension Lecturers and Guest Lecturers (Security of Service) Amendment Bill, 2026",Haryana,2026
"The Haryana Honorable Disposal of Dead Body Bill, 2025",Haryana,2025
"The Insecticides (Haryana Amendment) Bill, 2025",Haryana,2025
"The Seeds (Haryana Amendment) Bill, 2025",Haryana,2025
"The Haryana Land Revenue (Amendment) Bill, 2025",Haryana,2025
"The Haryana Panchayati Raj (Amendment) Bill, 2025",Haryana,2025
"The Haryana Scheduled Roads and Controlled Areas Restriction of Unregulated Development (Amendment) Bill, 2025",Haryana,2025
"The Haryana Shops and Commercial Establishment (Amendment) Bill, 2025",Haryana,2025
"The Haryana Abadi Deh (Vesting, Recording and Resolving of Ownership Rights) Bill, 2025",Haryana,2025
"The Haryana Private Universities (Amendment) Bill, 2025",Haryana,2025
"The Haryana Jan Vishwas (Amendment of Provisions) Bill, 2025",Haryana,2025
"The Haryana Housing Board (Amendment) Bill, 2025",Haryana,2025
"The Haryana Technical Education Guest Faculty (Security of Service) Amendment Bill, 2025",Haryana,2025
"The Haryana Panchayati Raj (Second Amendment) Bill, 2025",Haryana,2025
"The Haryana Municipal Corporation (Amendment) Bill, 2025",Haryana,2025
"The Haryana Shri Haryana Shri Kapal Mochan, Shri Badri Narain, Shri Mantra Devi and Shri Kedar Nath Shrine (Amendment) Bill, 2025",Haryana,2025
"The Haryana Antrarashtriya Gita Jyanti Mela Authority (Amendment) Bill, 2025",Haryana,2025
"The Sports University of Haryana (Amendment) Bill, 2025",Haryana,2025
"The Haryana Shri Mata Bhimeshwari Devi Mandir (Ashram), Beri Shrine (Amendment) Bill, 2025",Haryana,2025
"The Haryana Shri Mata Sheetla Devi Shrine (Amendment) Bill, 2025",Haryana,2025
"The Haryana Shri Mata Mansa Devi Shrine (Amendment) Bill, 2025",Haryana,2025
"The Haryana Municipal Bill, 2025",Haryana,2025
"The Haryana Municipal Bodies Bill, 2025",Haryana,2025
"The Haryana Legislative Assembly (Facilities to Members) Second Amendment Bill, 2025",Haryana,2025
"The Haryana Management of Civic Amenities and Infrastructure Deficient Municipal Areas (Special Provisions) Amendment Bill, 2025",Haryana,2025
"The Haryana Management of Civic Amenities and Infrastructure Deficient Areas Outside Municipal Area (Special Provisions) Amendment Bill, 2025",Haryana,2025
"The Haryana Goods and Services Tax (Amendment) Bill, 2025",Haryana,2025
"The Haryana Backward Classes Commission (Amendment) Bill, 2025",Haryana,2025
"The Panchkula Metropolitan Development Authority (Amendment) Bill, 2025",Haryana,2025
"The Haryana Legislative Assembly (Salary, Allowances and Pension of Members) Amendment Bill, 2025",Haryana,2025
"The Haryana Legislative Assembly (Facilities to Members) Amendment Bill, 2025",Haryana,2025
"The Haryana Legislative Assembly (Medical Facilities to Members) Amendment Bill, 2025",Haryana,2025
"The Haryana (Exchange of Prisoners) Repeal Bill, 2025",Haryana,2025
"The Aparna Institution (Taking over of Management and Control) Bill, 2025",Haryana,2025
"The Haryana Horticulture Nurseries Bill, 2025",Haryana,2025
"The Haryana Contractual Employees (Security of Service) Amendment Bill, 2025",Haryana,2025
"The Haryana Prevention of Public Gambling Bill, 2025",Haryana,2025
"The Haryana Registration and Regulation of Travel Agents Bill, 2025",Haryana,2025
"The Societies Registration (Delhi Amendment) Bill, 2026",Delhi,2026
"The Delhi Shops and Establishments (Amendment) Bill, 2026",Delhi,2026
"The Delhi Jan Vishwas (Amendment of Provisions) Bill, 2026",Delhi,2026
"The Court Fees (Delhi Amendment) Bill, 2026",Delhi,2026
"The Delhi Goods and Services Tax (Second Amendment) Bill, 2025",Delhi,2025
"The Delhi Goods and Services Tax (Amendment) Bill, 2025",Delhi,2025
"The Delhi School Education (Transparency in Fixation and Regulation of Fees) Bill, 2025",Delhi,2025
"The Delhi Goods & Services Tax (Third Amendment) Bill, 2024",Delhi,2024
"The Delhi Goods and Services Tax (Second Amendment) Bill, 2023",Delhi,2026
"The Delhi Goods and Services Tax (Amendment) Bill, 2023",Delhi,2026
"The Salary and Allowances of the Chief Whip in the Legislative Assembly of the National Capital Territory of Delhi (Amendment) Bill, 2022",Delhi,2026
"The Members of Legislative Assembly of the National Capital Territory of Delhi (Salaries, Allowances, Pension etc.) (Amendment) Bill, 2022",Delhi,2026
"The Ministers of the Government of National Capital Territory of Delhi (Salaries and Allowances) (Amendment) Bill, 2022",Delhi,2026
"The Goa Provision of Water Supply (Amendment) Bill, 2022",Delhi,2026
"The Delhi Electricity Reforms (Amendment) Bill, 2022",Delhi,2026
"The Delhi Teachers University Bill, 2022",Delhi,2026
"The Leader of Opposition in the Legislative Assembly of the National Capital Territory of Delhi (Salaries and Allowances) (Amendment) Bill, 2022",Delhi,2026
"The Speaker and Deputy Speaker of the Legislative Assembly of National Capital Territory of Delhi (Salaries and Allowances) (Amendment) Bill, 2022",Delhi,2026
"The Delhi Sikh Gurdwaras (Amendment) Bill, 2022",Delhi,2026
"The NCT of Delhi (Incredible India) Bed and Breakfast Establishments (Registration & Regulation) (Amendment) Bill, 2021",Delhi,2026
"The Delhi Goods and Services Tax (Amendment) Bill, 2021",Delhi,2026
"The Delhi Goods and Services Tax (Amendment) Bill, 2020",Delhi,2026
"The Delhi Goods and Services Tax (Amendment) Bill, 2019",Delhi,2026
"The Delhi Sports University Bill, 2019",Delhi,2026
"The Delhi Skills and Entrepreneurship University Bill, 2019",Delhi,2026
"The Contingency Fund of the NCT of Delhi (Amendment) Bill, 2018",Delhi,2026
"The Delhi Goods & Services Tax (Amendment) Bill, 2018",Delhi,2026
"The Regularisation of Services of Guest Teachers and Teachers Engaged Under The 'Sarva Shiksha Abhiyan' Bill, 2017",Delhi,2026
"The Delhi (Right of Citizen to Time Bound Delivery of Services) Amendment Bill, 2017",Delhi,2026
"The Minimum Wages (Delhi) Amendment Bill, 2017",Delhi,2026
"The Delhi Netaji Subhas University of Technology Bill, 2017",Delhi,2026
"The Delhi Goods and Services Tax (GST) Bill, 2017",Delhi,2026
"The Delhi Tax on Luxuries (Amendment) Bill, 2016",Delhi,2026
"The Delhi School (Verification of Accounts and Refund of Excess Fee) Bill, 2015",Delhi,2026
"The Delhi Value Added Tax (2nd Amendment) Bill, 2015",Delhi,2026
"The Delhi Members of Legislative Assembly (Removal of Disqualification) (Amendment) Bill, 2015",Delhi,2026
"The Delhi Netaji Subhas University of Technology Bill, 2015",Delhi,2026
The Delhi Urban Shelter Improvement Board (Amendment) Act 2015,Delhi,2026
"The Delhi Value Added Tax (1st Amendment) Bill, 2015",Delhi,2026
"The Delhi Value Added Tax (3rd Amendment) Bill, 2015",Delhi,2026
"The Salary and Allowances of the Chief Whip in the Legislative Assembly of the National Capital Territory of Delhi (Amendment) Bill, 2015",Delhi,2026
"The Leader of Opposition in the Legislative Assembly of the National Capital Territory of Delhi (Salaries and Allowances) (Amendment) Bill, 2015",Delhi,2026
"The Speaker and Deputy Speaker of the Legislative Assembly of National Capital Territory of Delhi (Salaries and Allowances) (Amendment) Bill, 2015",Delhi,2026
"The Ministers of The National Capital Territory of Delhi (Salaries and Allowances) (Amendment) Bill, 2015",Delhi,2026
"The Members of Legislative Assembly of National Capital Territory of Delhi (Salaries, Allowances, Pension, etc.) (Amendment) Bill, 2015",Delhi,2026
"The Delhi Jan Lokpal Bill, 2015",Delhi,2026
